date,inflexEV,noEV,smartEV,time,utilities
2024-08-24 00:00:00,0.0,0.0,0.0,0,IID
2024-08-24 01:00:00,0.0,0.0,0.0,1,IID
2024-08-24 02:00:00,34.17058711,24.17892051,34.17058711,2,IID
2024-08-24 03:00:00,78.97918139,69.15441369,78.97918139,3,IID
2024-08-24 04:00:00,102.0632869,92.18811057,92.54559899,4,IID
2024-08-24 05:00:00,106.5463017,107.1207168,106.4179072,5,IID
2024-08-24 06:00:00,117.8266031,118.3506096,117.6986631,6,IID
2024-08-24 07:00:00,272.8488274,273.3224253,272.721343,7,IID
2024-08-24 08:00:00,382.8258635,383.2490528,377.0600593,8,IID
2024-08-24 09:00:00,454.2252219,454.5980026,454.2252219,9,IID
2024-08-24 10:00:00,415.8181288,416.1405009,415.8181288,10,IID
2024-08-24 11:00:00,379.8926405,380.1654168,380.2563422,11,IID
2024-08-24 12:00:00,348.4287433,348.7272023,348.8266886,12,IID
2024-08-24 13:00:00,264.1668402,264.4882159,264.595341,13,IID
2024-08-24 14:00:00,163.5431705,163.8891777,164.0045132,14,IID
2024-08-24 15:00:00,36.26363528,36.63580478,36.75986097,15,IID
2024-08-24 16:00:00,7.297187877,7.875306877,7.875306747,16,IID
2024-08-24 17:00:00,59.88982602,83.44433373,38.83936962,17,IID
2024-08-24 18:00:00,0.0,0.0,0.0,18,IID
2024-08-24 19:00:00,19.03709185,2.550389803,0.0,19,IID
2024-08-24 20:00:00,103.5854695,117.067996,67.91663741,20,IID
2024-08-24 21:00:00,0.0,0.0,0.0,21,IID
2024-08-24 22:00:00,12.921203,0.0,0.0,22,IID
2024-08-24 23:00:00,0.0,0.0,0.0,23,IID
2024-08-24 00:00:00,975.3051911,814.586863,936.5460716,0,LDWP
2024-08-24 01:00:00,1253.396741,1312.760163,1200.494097,1,LDWP
2024-08-24 02:00:00,156.2685602,188.4830452,886.7269734,2,LDWP
2024-08-24 03:00:00,275.6113748,1605.057025,1562.00719,3,LDWP
2024-08-24 04:00:00,316.0400751,383.0552214,342.5202973,4,LDWP
2024-08-24 05:00:00,1561.417293,1474.7414,1406.133823,5,LDWP
2024-08-24 06:00:00,157.025085,382.8375171,244.6762498,6,LDWP
2024-08-24 07:00:00,0.0,0.0,0.0,7,LDWP
2024-08-24 08:00:00,0.0,0.0,0.0,8,LDWP
2024-08-24 09:00:00,0.0,0.0,0.0,9,LDWP
2024-08-24 10:00:00,0.0,0.0,0.0,10,LDWP
2024-08-24 11:00:00,0.0,0.0,0.0,11,LDWP
2024-08-24 12:00:00,0.0,0.0,0.0,12,LDWP
2024-08-24 13:00:00,0.0,0.0,0.0,13,LDWP
2024-08-24 14:00:00,152.8294107,174.6185127,181.8815464,14,LDWP
2024-08-24 15:00:00,861.805774,1661.75851,905.9177692,15,LDWP
2024-08-24 16:00:00,2564.574371,2360.995846,2363.340725,16,LDWP
2024-08-24 17:00:00,3656.0,3656.0,3656.0,17,LDWP
2024-08-24 18:00:00,3548.638658,3652.872521,3634.940423,18,LDWP
2024-08-24 19:00:00,3656.0,3361.497401,3656.0,19,LDWP
2024-08-24 20:00:00,3656.0,3656.0,3656.0,20,LDWP
2024-08-24 21:00:00,2973.153756,2980.458912,2664.102607,21,LDWP
2024-08-24 22:00:00,2988.528223,3056.315267,2920.691542,22,LDWP
2024-08-24 23:00:00,2606.975907,1956.826654,1847.835629,23,LDWP
2024-08-24 00:00:00,174.4,174.4,174.4,0,PG&E_BAY
2024-08-24 01:00:00,174.4,174.4,174.4,1,PG&E_BAY
2024-08-24 02:00:00,174.4,0.0,174.4,2,PG&E_BAY
2024-08-24 03:00:00,174.4,174.4,174.4,3,PG&E_BAY
2024-08-24 04:00:00,174.4,0.0,174.4,4,PG&E_BAY
2024-08-24 05:00:00,174.4,174.4,174.4,5,PG&E_BAY
2024-08-24 06:00:00,174.4,0.0,174.4,6,PG&E_BAY
2024-08-24 07:00:00,174.4,174.4,174.4,7,PG&E_BAY
2024-08-24 08:00:00,174.4,174.4,174.4,8,PG&E_BAY
2024-08-24 09:00:00,174.4,174.4,174.4,9,PG&E_BAY
2024-08-24 10:00:00,174.4,174.4,174.4,10,PG&E_BAY
2024-08-24 11:00:00,174.4,174.4,174.4,11,PG&E_BAY
2024-08-24 12:00:00,174.4,174.4,174.4,12,PG&E_BAY
2024-08-24 13:00:00,0.0,174.4,174.4,13,PG&E_BAY
2024-08-24 14:00:00,0.0,174.4,174.4,14,PG&E_BAY
2024-08-24 15:00:00,0.0,174.4,174.4,15,PG&E_BAY
2024-08-24 16:00:00,174.4,174.4,174.4,16,PG&E_BAY
2024-08-24 17:00:00,174.4,174.4,174.4,17,PG&E_BAY
2024-08-24 18:00:00,174.4,174.4,174.4,18,PG&E_BAY
2024-08-24 19:00:00,174.4,174.4,174.4,19,PG&E_BAY
2024-08-24 20:00:00,174.4,174.4,174.4,20,PG&E_BAY
2024-08-24 21:00:00,0.0,174.4,174.4,21,PG&E_BAY
2024-08-24 22:00:00,174.4,174.4,174.4,22,PG&E_BAY
2024-08-24 23:00:00,0.0,0.0,174.4,23,PG&E_BAY
2024-08-24 00:00:00,7028.94893,6539.450939,7156.242143,0,PG&E_VLY
2024-08-24 01:00:00,6613.879685,6270.910043,6790.526827,1,PG&E_VLY
2024-08-24 02:00:00,6093.454087,6002.998304,6088.265098,2,PG&E_VLY
2024-08-24 03:00:00,5363.332124,5058.43115,5199.399221,3,PG&E_VLY
2024-08-24 04:00:00,5075.882146,4746.915633,5103.310359,4,PG&E_VLY
2024-08-24 05:00:00,4544.093947,4607.421406,4592.927615,5,PG&E_VLY
2024-08-24 06:00:00,4265.38365,4323.079311,4309.662773,6,PG&E_VLY
2024-08-24 07:00:00,4849.39369,4871.565365,4859.491067,7,PG&E_VLY
2024-08-24 08:00:00,3818.714816,3769.232117,5203.821682,8,PG&E_VLY
2024-08-24 09:00:00,4350.194656,3926.176088,4677.866011,9,PG&E_VLY
2024-08-24 10:00:00,4666.412021,4639.754096,4824.491818,10,PG&E_VLY
2024-08-24 11:00:00,5879.077427,5533.411959,5686.573759,11,PG&E_VLY
2024-08-24 12:00:00,7286.608246,7014.941145,7156.415862,12,PG&E_VLY
2024-08-24 13:00:00,7110.163177,7298.895537,6690.82826,13,PG&E_VLY
2024-08-24 14:00:00,7143.532389,7674.348166,7388.844446,14,PG&E_VLY
2024-08-24 15:00:00,7084.192266,7183.753238,7025.105116,15,PG&E_VLY
2024-08-24 16:00:00,6851.058577,7193.050216,7085.680577,16,PG&E_VLY
2024-08-24 17:00:00,6006.108638,6376.791464,6205.881098,17,PG&E_VLY
2024-08-24 18:00:00,6018.477767,6180.356745,6369.272217,18,PG&E_VLY
2024-08-24 19:00:00,5902.055583,5937.75254,6192.465411,19,PG&E_VLY
2024-08-24 20:00:00,6044.758932,6133.005082,6014.932775,20,PG&E_VLY
2024-08-24 21:00:00,5771.306718,5821.626865,5786.426729,21,PG&E_VLY
2024-08-24 22:00:00,5463.060944,5683.311544,5524.945852,22,PG&E_VLY
2024-08-24 23:00:00,4995.972946,5169.302453,4813.081265,23,PG&E_VLY
2024-08-24 00:00:00,0.0,0.0,0.0,0,SCE
2024-08-24 01:00:00,20.16181573,96.23098715,0.0,1,SCE
2024-08-24 02:00:00,0.0,0.0,358.0564944,2,SCE
2024-08-24 03:00:00,0.0,294.4999207,0.0,3,SCE
2024-08-24 04:00:00,0.0,0.0,0.0,4,SCE
2024-08-24 05:00:00,230.8755484,49.82240487,79.95395208,5,SCE
2024-08-24 06:00:00,370.3821921,0.0,0.0,6,SCE
2024-08-24 07:00:00,377.7399282,355.0295993,656.5530831,7,SCE
2024-08-24 08:00:00,518.8422368,486.2000535,1173.246582,8,SCE
2024-08-24 09:00:00,722.4640185,675.9596275,1176.68924,9,SCE
