time,spatialGroup,siteType,chargerType,chargingLoad,numPlugged
4.25,Santa Clara,Non-Residential,j-1772-2,0.0,0
4.5,Santa Clara,Non-Residential,j-1772-2,6.7,1
4.75,Santa Clara,Non-Residential,j-1772-2,6.7,1
5.0,Santa Clara,Non-Residential,j-1772-2,6.7,1
5.0,San Mateo,Non-Residential,j-1772-2,6.7,1
5.25,Santa Clara,Non-Residential,j-1772-2,6.7,1
5.25,San Mateo,Non-Residential,j-1772-2,6.7,1
5.5,Santa Clara,Non-Residential,j-1772-2,6.7,1
5.5,San Mateo,Non-Residential,j-1772-2,0.0,1
5.75,Santa Clara,Residential,j-1772-2,0.0,0
5.75,Santa Clara,Non-Residential,j-1772-2,13.4,2
5.75,San Mateo,Non-Residential,j-1772-2,0.0,1
5.75,Contra Costa,Non-Residential,j-1772-2,6.7,1
6.0,Santa Clara,Residential,j-1772-2,0.0,0
6.0,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,2
6.0,San Mateo,Residential,j-1772-2,6.7,1
6.0,San Mateo,Non-Residential,j-1772-2,6.7,2
6.0,Contra Costa,Non-Residential,j-1772-2,6.7,1
6.25,Santa Clara,Residential,j-1772-2,0.0,0
6.25,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,2
6.25,San Mateo,Residential,j-1772-2,6.7,1
6.25,San Mateo,Non-Residential,j-1772-2,6.7,2
6.25,Contra Costa,Non-Residential,j-1772-2,6.7,1
6.5,Santa Clara,Residential,j-1772-2,0.0,0
6.5,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,2
6.5,San Mateo,Residential,j-1772-2,13.3,2
6.5,San Mateo,Non-Residential,j-1772-2,0.0,2
6.5,Contra Costa,Non-Residential,j-1772-2,6.7,1
6.75,Santa Clara,Residential,j-1772-2,0.0,0
6.75,Santa Clara,Non-Residential,j-1772-2,13.400000000000002,4
6.75,Alameda,Non-Residential,j-1772-2,6.7,1
6.75,San Mateo,Residential,j-1772-2,13.3,2
6.75,San Mateo,Non-Residential,j-1772-2,0.0,2
6.75,Contra Costa,Non-Residential,j-1772-2,6.7,1
7.0,Santa Clara,Residential,j-1772-2,0.0,0
7.0,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,3
7.0,Alameda,Non-Residential,j-1772-2,6.7,1
7.0,San Mateo,Residential,j-1772-2,13.3,2
7.0,San Mateo,Non-Residential,j-1772-2,0.0,2
7.0,Contra Costa,Non-Residential,j-1772-2,6.7,1
7.25,Santa Clara,Residential,j-1772-2,0.0,0
7.25,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,3
7.25,Alameda,Non-Residential,j-1772-2,6.7,1
7.25,San Mateo,Residential,j-1772-2,13.3,2
7.25,San Mateo,Non-Residential,j-1772-2,0.0,2
7.25,Contra Costa,Non-Residential,j-1772-2,6.7,1
7.5,Santa Clara,Residential,j-1772-2,0.0,0
7.5,Santa Clara,Non-Residential,j-1772-2,6.700000000000002,4
7.5,Alameda,Non-Residential,j-1772-2,6.7,1
7.5,San Mateo,Residential,j-1772-2,13.3,2
7.5,San Mateo,Non-Residential,j-1772-2,0.0,2
7.5,Contra Costa,Non-Residential,j-1772-2,6.7,1
7.75,Santa Clara,Residential,j-1772-2,0.0,0
7.75,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,4
7.75,Alameda,Non-Residential,j-1772-2,6.7,1
7.75,San Mateo,Residential,j-1772-2,13.3,2
7.75,San Mateo,Non-Residential,j-1772-2,0.0,2
7.75,Contra Costa,Non-Residential,j-1772-2,6.7,1
8.0,Santa Clara,Residential,j-1772-2,0.0,0
8.0,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,4
8.0,Alameda,Non-Residential,j-1772-2,6.7,1
8.0,San Mateo,Residential,j-1772-2,13.3,2
8.0,San Mateo,Non-Residential,j-1772-2,6.7,3
8.0,Contra Costa,Non-Residential,j-1772-2,0.0,1
8.25,Santa Clara,Residential,j-1772-2,0.0,0
8.25,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,4
8.25,Alameda,Non-Residential,j-1772-2,6.7,1
8.25,San Mateo,Residential,j-1772-2,13.3,2
8.25,San Mateo,Non-Residential,j-1772-2,0.0,3
8.25,Contra Costa,Non-Residential,j-1772-2,0.0,1
8.5,Santa Clara,Residential,j-1772-2,0.0,0
8.5,Santa Clara,Non-Residential,j-1772-2,1.7763568394002505E-15,4
